mappath	city	weather	temp	last_update
xinjiang uygur,bayin'gholin mongol	N/A	N/A	N/A	N/A
gansu,zhangye	张掖	晴	-9	2017-01-23T01:40:00+08:00
xizang,nagchu	N/A	N/A	N/A	N/A
jiangsu,nanjing	南京	多云	1	2017-01-23T01:45:00+08:00
anhui,chizhou	池州	晴	3	2017-01-23T01:40:00+08:00
fujian,fuzhou	福州	多云	7	2017-01-23T01:40:00+08:00
anhui,huaibei	淮北	晴	-2	2017-01-23T01:40:00+08:00
guangxi,beihai	北海	多云	12	2017-01-23T01:30:00+08:00
jiangsu,suqian	宿迁	晴	-1	2017-01-23T01:35:00+08:00
shaanxi,yulin	榆林	晴	-7	2017-01-23T01:40:00+08:00
jilin,tonghua	通化	多云	-20	2017-01-23T01:00:00+08:00
henan,nanyang	南阳	多云	1	2017-01-23T01:40:00+08:00
henan,luohe	漯河	多云	-1	2017-01-23T01:40:00+08:00
sichuan,neijiang]]	内江	多云	9	2017-01-23T01:25:00+08:00
shandong,linyi	临沂	晴	-5	2017-01-23T01:40:00+08:00
xizang,ngari	N/A	N/A	N/A	N/A
yunnan,kunming	昆明	多云	4	2017-01-23T01:40:00+08:00
liaoning,fuxin	阜新	晴	-20	2017-01-23T01:40:00+08:00
gansu,jiuquan	酒泉	晴	-8	2017-01-23T01:40:00+08:00
jilin,yanbian korean	N/A	N/A	N/A	N/A
gansu,longnan	N/A	N/A	N/A	N/A
sichuan,panzhihua	攀枝花	晴	10	2017-01-23T01:45:00+08:00
shaanxi,xi'an	西安	多云	-2	2017-01-23T01:40:00+08:00
jilin,jilin	吉林	晴	-23	2017-01-23T01:05:00+08:00
anhui,bengbu	蚌埠	多云	-2	2017-01-23T01:25:00+08:00
heilongjiang,yichun	伊春	多云	-27	2017-01-23T01:20:00+08:00
guangxi,qinzhou	钦州	晴	11	2017-01-23T01:40:00+08:00
guangdong,shaoguan	韶关	晴	5	2017-01-23T01:40:00+08:00
xinjiang uygur,changji hui	昌吉	阴	-13	2017-01-23T01:40:00+08:00
hunan,yiyang	益阳	晴	3	2017-01-23T01:05:00+08:00
shaanxi,yan'an	延安	晴	-9	2017-01-23T01:40:00+08:00
henan,luoyang	洛阳	多云	0	2017-01-23T01:35:00+08:00
yunnan,yuxi	玉溪	多云	6	2017-01-23T01:40:00+08:00
zhejiang,taizhou	台州	晴	3	2017-01-23T01:40:00+08:00
shanxi,xinzhou	忻州	晴	-9	2017-01-23T01:40:00+08:00
guangdong,zhaoqing	肇庆	晴	9	2017-01-23T01:35:00+08:00
hunan,xiangtan	湘潭	多云	1	2017-01-23T01:05:00+08:00
fujian,quanzhou	泉州	晴	9	2017-01-23T01:40:00+08:00
guangdong,chaozhou	潮州	晴	9	2017-01-23T01:25:00+08:00
gansu,wuwei	武威	晴	-5	2017-01-23T01:30:00+08:00
jiangsu,nantong	南通	晴	-1	2017-01-23T01:40:00+08:00
shandong,tai'an	泰安	晴	-4	2017-01-23T01:35:00+08:00
qinghai,haixi mongol and tibetan	海西	多云	-10	2017-01-23T01:40:00+08:00
henan,zhoukou	周口	晴	2	2017-01-23T01:40:00+08:00
guangxi,baise	百色	多云	12	2017-01-23T01:40:00+08:00
hubei,xiangfan	N/A	N/A	N/A	N/A
jiangxi,yingtan	鹰潭	晴	5	2017-01-23T01:45:00+08:00
zhejiang,ningbo	宁波	晴	1	2017-01-23T01:50:00+08:00
liaoning,huludao	葫芦岛	晴	-16	2017-01-23T01:50:00+08:00
guizhou,bijie	毕节	小雨	3	2017-01-23T01:50:00+08:00
guizhou,qiandongnan miao and dong	凯里	多云	7	2017-01-23T01:50:00+08:00
yunnan,zhaotong	昭通	阴	2	2017-01-23T01:40:00+08:00
ningxia hui,wuzhong	吴忠	晴	-8	2017-01-23T01:05:00+08:00
henan,xinyang	信阳	多云	3	2017-01-23T01:50:00+08:00
shanxi,luliang	N/A	N/A	N/A	N/A
shandong,rizhao	日照	晴	-5	2017-01-23T01:50:00+08:00
xinjiang uygur,ürümqi	乌鲁木齐	雾	-8	2017-01-23T01:40:00+08:00
henan,hebi	鹤壁	晴	-7	2017-01-23T01:50:00+08:00
jiangsu,zhenjiang	镇江	多云	0	2017-01-23T01:50:00+08:00
gansu,jiayuguan	嘉峪关	晴	-9	2017-01-23T01:05:00+08:00
guangdong,dongguan	东莞	晴	12	2017-01-23T01:50:00+08:00
henan,anyang	安阳	晴	-4	2017-01-23T01:50:00+08:00
sichuan,garzê tibetan	N/A	N/A	N/A	N/A
xinjiang uygur,karamay	N/A	N/A	N/A	N/A
xinjiang uygur,aksu	阿克苏	晴	-12	2017-01-23T01:50:00+08:00
hainan,hainan	N/A	N/A	N/A	N/A
hubei,enshi tujia and miao	恩施	多云	5	2017-01-23T01:50:00+08:00
xinjiang uygur,tacheng	塔城	多云	-4	2017-01-23T01:50:00+08:00
nei mongol,tongliao	N/A	N/A	N/A	N/A
shandong,heze	菏泽	晴	1	2017-01-23T01:50:00+08:00
gansu,baiyin	白银	晴	-9	2017-01-23T01:50:00+08:00
hubei,xiantao	仙桃	晴	3	2017-01-23T01:50:00+08:00
sichuan,guang'an	广安	多云	7	2017-01-23T01:50:00+08:00
liaoning,tieling	铁岭	晴	-21	2017-01-23T01:50:00+08:00
fujian,longyan	龙岩	晴	7	2017-01-23T01:50:00+08:00
shaanxi,hanzhong	汉中	阴	3	2017-01-23T01:50:00+08:00
sichuan,suining	遂宁	多云	6	2017-01-23T01:50:00+08:00
yunnan,qujing	曲靖	小雨	7	2017-01-23T01:50:00+08:00
henan,zhengzhou	郑州	晴	-4	2017-01-23T01:50:00+08:00
gansu,gannan tibetan	N/A	N/A	N/A	N/A
sichuan,deyang	德阳	多云	4	2017-01-23T02:05:00+08:00
liaoning,jinzhou	锦州	晴	-14	2017-01-23T01:50:00+08:00
liaoning,chaoyang	朝阳	晴	-20	2017-01-23T01:50:00+08:00
guangdong,zhuhai	珠海	晴	13	2017-01-23T02:05:00+08:00
xizang,lhasa	N/A	N/A	N/A	N/A
shandong,weifang	潍坊	晴	-9	2017-01-23T01:50:00+08:00
hubei,shiyan	十堰	晴	3	2017-01-23T02:05:00+08:00
yunnan,honghe hani and yi	红河	多云	11	2017-01-23T01:50:00+08:00
heilongjiang,harbin	N/A	N/A	N/A	N/A
fujian,zhangzhou	漳州	晴	10	2017-01-23T01:50:00+08:00
gansu,jinchang	金昌	晴	-10	2017-01-23T01:50:00+08:00
guangxi,wuzhou	梧州	多云	9	2017-01-23T01:50:00+08:00
nei mongol,wuhai	N/A	N/A	N/A	N/A
sichuan,meishan	眉山	阴	7	2017-01-23T01:50:00+08:00
fujian,nanping	南平	多云	6	2017-01-23T02:05:00+08:00
hubei,tianmen	天门	多云	3	2017-01-23T01:50:00+08:00
henan,pingdingshan	平顶山	多云	-1	2017-01-23T01:50:00+08:00
anhui,chuzhou	滁州	多云	-1	2017-01-23T01:50:00+08:00
hunan,zhuzhou	株洲	多云	2	2017-01-23T01:05:00+08:00
sichuan,guangyuan	广元	多云	3	2017-01-23T01:50:00+08:00
ningxia hui,shizuishan	石嘴山	晴	-11	2017-01-23T01:05:00+08:00
guizhou,zunyi	遵义	多云	7	2017-01-23T01:55:00+08:00
sichuan,yibin	宜宾	阴	9	2017-01-23T01:50:00+08:00
guangdong,huizhou	惠州	晴	13	2017-01-23T01:50:00+08:00
jiangxi,yichun	宜春	晴	3	2017-01-23T01:50:00+08:00
anhui,xuancheng	宣城	晴	1	2017-01-23T01:50:00+08:00
gansu,dingxi	定西	晴	-8	2017-01-23T01:50:00+08:00
jiangsu,lianyungang	连云港	晴	-5	2017-01-23T01:50:00+08:00
hubei,wuhan	武汉	多云	0	2017-01-23T01:50:00+08:00
fujian,ningde	宁德	多云	6	2017-01-23T02:05:00+08:00
hebei,langfang	廊坊	晴	-9	2017-01-23T01:50:00+08:00
guangxi,yulin	玉林	晴	10	2017-01-23T02:00:00+08:00
liaoning,shenyang	沈阳	晴	-21	2017-01-23T01:50:00+08:00
qinghai,huangnan tibetan	黄南	多云	-8	2017-01-23T02:10:00+08:00
guizhou,liupanshui	N/A	N/A	N/A	N/A
guizhou,qianxinan buyei and miao	N/A	N/A	N/A	N/A
nei mongol,ordos	N/A	N/A	N/A	N/A
shanxi,jincheng	晋城	晴	-5	2017-01-23T02:05:00+08:00
hunan,loudi	娄底	晴	5	2017-01-23T02:00:00+08:00
shanxi,changzhi	长治	晴	-2	2017-01-23T02:05:00+08:00
hunan,yongzhou	永州	多云	4	2017-01-23T02:00:00+08:00
guangdong,yangjiang	阳江	晴	12	2017-01-23T02:05:00+08:00
jiangxi,ji'an	吉安	晴	5	2017-01-23T02:10:00+08:00
hubei,huangshi	黄石	多云	3	2017-01-23T02:10:00+08:00
anhui,chaohu	N/A	N/A	N/A	N/A
henan,puyang	濮阳	晴	-2	2017-01-23T02:05:00+08:00
henan,shangqiu	商丘	晴	-1	2017-01-23T02:05:00+08:00
jiangsu,yangzhou	扬州	多云	-2	2017-01-23T02:10:00+08:00
jiangxi,fuzhou	抚州	晴	3	2017-01-23T02:10:00+08:00
shandong,zaozhuang	枣庄	晴	-4	2017-01-23T02:10:00+08:00
jiangsu,changzhou	常州	多云	-2	2017-01-23T02:10:00+08:00
sichuan,chengdu	成都	多云	3	2017-01-23T02:00:00+08:00
heilongjiang,shuangyashan	双鸭山	多云	-22	2017-01-23T02:10:00+08:00
